应用包名,com.duowan.live
应用名称,虎牙助手
应用PID,5494
机器内存大小(MB),2774.59MB
机器CPU型号,
Android系统版本,6.0
手机型号,MI 5
UID,10504
时间,栈顶Activity名称,应用占用内存PSS(MB),应用占用内存比(%),机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),cpu0总使用率(%),cpu1总使用率(%),cpu2总使用率(%),cpu3总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V),帧率
2017-02-24 19:16:42,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},259.80,9.36,853.86,0,0,0.00,0.00,0.00,0.00,1665,66,N/A,33.0,3.818,-1.0
2017-02-24 19:16:47,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},259.83,9.36,852.34,46.66,71.23,76.62,73.56,67.55,67.18,3715,66,N/A,33.0,3.818,-1.0
2017-02-24 19:16:53,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},263.61,9.50,846.48,46.16,71.17,75.97,72.95,67.97,67.76,5182,66,N/A,33.0,3.818,-1.0
2017-02-24 19:16:58,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},264.21,9.52,847.52,45.70,70.57,75.63,73.05,66.91,66.92,6848,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:03,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},263.99,9.51,847.22,43.64,69.57,75.29,71.74,65.91,65.55,8785,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:09,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},262.10,9.45,849.97,43.42,70.03,76.25,73.15,65.44,65.14,10869,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:14,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},263.13,9.48,847.83,43.00,68.98,73.06,71.54,66.29,65.02,12089,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:19,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},264.25,9.52,850.00,45.93,70.53,75.24,74.19,67.54,65.28,13491,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:25,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},264.80,9.54,849.03,45.49,69.80,74.80,72.39,67.23,64.84,14360,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:30,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},268.20,9.67,847.17,43.80,70.38,76.56,73.50,65.97,65.43,15239,66,N/A,33.0,3.818,-1.0
2017-02-24 19:17:36,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},268.74,9.69,844.90,45.18,69.44,74.66,72.90,63.98,66.41,16156,65,N/A,35.2,3.752,-1.0
2017-02-24 19:17:41,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},269.16,9.70,840.64,45.23,69.59,74.81,73.17,66.23,64.33,17060,65,N/A,35.2,3.752,-1.0
2017-02-24 19:17:46,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},269.97,9.73,839.77,45.08,70.19,76.53,74.01,64.46,65.70,17911,65,N/A,35.2,3.752,-1.0
2017-02-24 19:17:52,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},267.90,9.66,841.99,43.11,71.14,76.26,74.81,66.67,67.15,18785,65,N/A,35.2,3.752,-1.0
2017-02-24 19:17:57,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},268.45,9.68,840.64,44.55,72.92,78.74,75.78,68.69,68.62,19678,65,N/A,35.2,3.752,-1.0
2017-02-24 19:18:03,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},269.41,9.71,839.88,46.38,78.82,83.67,81.17,75.51,74.91,20633,65,N/A,35.2,3.752,-1.0
2017-02-24 19:18:08,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},269.90,9.73,835.13,44.47,80.26,83.89,83.30,77.18,76.56,21625,65,N/A,35.2,3.752,-1.0
2017-02-24 19:18:14,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},270.39,9.75,834.40,45.38,81.01,84.74,82.70,77.74,78.82,22607,65,N/A,35.2,3.752,-1.0
2017-02-24 19:18:20,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},273.29,9.85,830.32,46.40,82.62,85.64,84.92,79.16,80.87,23623,65,N/A,35.2,3.752,-1.0
2017-02-24 19:18:25,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},273.40,9.85,828.65,45.96,79.18,83.30,81.02,76.23,76.27,24672,64,N/A,36.7,3.747,-1.0
2017-02-24 19:18:31,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},273.85,9.87,824.83,49.24,74.71,80.00,77.05,71.61,70.42,25731,64,N/A,36.7,3.747,-1.0
2017-02-24 19:18:36,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},271.63,9.79,831.38,49.65,73.46,79.43,76.43,69.02,69.10,26741,64,N/A,36.7,3.747,-1.0
2017-02-24 19:18:42,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},272.66,9.83,834.73,47.81,74.18,80.14,76.45,70.87,69.16,27727,64,N/A,36.7,3.747,-1.0
2017-02-24 19:18:47,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},273.29,9.85,832.09,49.30,75.54,81.73,77.21,70.95,72.36,28666,64,N/A,36.7,3.747,-1.0
2017-02-24 19:18:53,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},273.28,9.85,832.12,47.03,77.39,82.40,80.82,73.35,72.86,29628,64,N/A,36.7,3.747,-1.0
2017-02-24 19:18:58,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},274.23,9.88,827.66,47.56,74.83,80.41,77.99,71.43,69.78,30513,64,N/A,36.7,3.747,-1.0
2017-02-24 19:19:04,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},276.27,9.96,823.89,49.28,74.48,80.49,75.99,71.30,70.22,31414,64,N/A,36.7,3.747,-1.0
2017-02-24 19:19:10,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},275.91,9.94,835.59,48.27,76.48,81.35,78.26,73.65,72.68,32333,64,N/A,36.7,3.747,-1.0
2017-02-24 19:19:15,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},273.61,9.86,850.07,49.40,76.79,82.07,79.71,73.52,71.79,33238,64,N/A,36.7,3.747,-1.0
2017-02-24 19:19:21,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},271.81,9.80,854.56,47.88,76.06,80.99,79.74,71.02,72.68,34109,64,N/A,36.7,3.747,-1.0
2017-02-24 19:19:26,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},265.62,9.57,859.71,49.42,75.17,80.62,77.49,71.05,71.43,34979,63,N/A,38.0,3.752,-1.0
2017-02-24 19:19:32,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},266.68,9.61,859.51,54.46,83.04,87.48,84.23,79.66,80.81,35929,63,N/A,38.0,3.752,-1.0
2017-02-24 19:19:38,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},266.23,9.60,858.64,54.55,81.43,85.96,84.97,77.37,77.22,36833,63,N/A,38.0,3.752,-1.0
2017-02-24 19:19:44,ComponentInfo{com.netease.qa.emmagee/com.netease.qa.emmagee.activity.MainPageActivity},267.62,9.65,854.05,50.84,79.92,83.60,82.38,76.33,77.39,37762,63,N/A,38.0,3.752,-1.0
