中心	首次拨打日期	网络类别	渠道	来源	推广点	渠道营销专员	推广员	总单量	空号	非本人	不感兴趣	一人多号	年龄小	异地	无中心城市	未接通	停机	废单量	废单率	有效量	未接率	确认有效量	确认有效率
广州1(广州维多利中心)	2017/02/03		推广	Tout      	A点(维多利中心）	andy_zzp                      	andy_zzp	1	0	0	0	0	0	0	0	0	0	0	0.00%	1	0.00%	1	100.00%
广州1(广州维多利中心)	2017/02/03		推广	Tout      	广州购书中心体验点（维多利中心）	lemon_l                       	lemon_l	1	0	0	0	0	0	0	0	0	0	0	0.00%	1	0.00%	1	100.00%
广州1(广州维多利中心)	2017/02/03		推广	Tout      	广州购书中心体验点（维多利中心）	phoebe_zq                     	phoebe_zq	1	0	0	0	0	0	0	0	0	0	0	0.00%	1	0.00%	1	100.00%
广州1(广州维多利中心)	2017/02/03		推广	Tout      	广州购书中心体验点（维多利中心）	vincent_lrs                   	vincent_lrs	6	0	0	0	0	0	0	0	3	0	0	0.00%	6	50.00%	3	50.00%
广州1(广州维多利中心)	2017/02/03		推广	Tout      	体育西商铺（维多利中心）	star_lxx                      	star_lxx	5	0	0	0	0	0	0	0	3	0	0	0.00%	5	60.00%	2	40.00%
广州1(广州维多利中心)	2017/02/03		推广	Tin       	维多利兼职派发	tim_wht                       	tim_wht	1	0	0	0	0	0	0	0	0	0	0	0.00%	1	0.00%	1	100.00%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺奥园一楼东门（奥园中心）	bella_lyf                     	bella	2	0	0	0	0	0	0	0	1	0	0	0.00%	2	50.00%	1	50.00%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺奥园一楼东门（奥园中心）	bella_lyf                     	bella_lyf	1	0	0	0	0	0	0	0	1	0	0	0.00%	1	100.00%	0	0.00%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺奥园一楼东门（奥园中心）	sea_dht                       	sea	2	0	0	0	0	0	0	0	1	0	0	0.00%	2	50.00%	1	50.00%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺奥园一楼东门（奥园中心）	steven_hj                     	steven_hj	6	0	1	0	0	0	0	0	3	0	1	16.67%	5	50.00%	2	33.33%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺奥园一楼东门（奥园中心）	sunny_lwf                     	sunny	1	0	0	0	0	0	0	0	0	0	0	0.00%	1	0.00%	1	100.00%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺永旺梦乐城	angela_yqm                    	Angela	1	0	0	0	0	0	0	0	0	0	0	0.00%	1	0.00%	1	100.00%
广州2(广州番禺奥园中心)	2017/02/03		推广	Tout      	番禺永旺梦乐城	sunny_lwf                     	sunny	6	0	0	0	0	0	0	0	3	0	0	0.00%	6	50.00%	3	50.00%
广州3(广州万菱汇中心)	2017/02/03		推广	Tout      	体育东街坊（体育东中心）	jane_lzf                      	jane_lzf	2	0	0	0	0	0	0	0	1	0	0	0.00%	2	50.00%	1	50.00%
广州3(广州万菱汇中心)	2017/02/03		推广	Tout      	体育东街坊（体育东中心）	lemon_l                       	lemon_l	1	0	0	0	0	0	0	0	1	0	0	0.00%	1	100.00%	0	0.00%
